task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
P19532,Oncology,Renal Cell Carcinoma,3.67,hard,11,chembl;clinicaltrialsgov;pubmed,opentargets;pubmed;uniprot,0.333,233.4,44671,2833,,,,,,,,
PMID:25994217,Oncology,"Pancreatic cancer, tumor microenvironment",3.67,hard,7,pubmed,opentargets;pubmed,0.5,196.21,33125,3007,,,,,,,,
PMID:36799262,Surgical Sciences,Orthopedic Surgery,4.0,hard,9,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,224.19,31934,2137,,,,,,,,
PMID:32311414,Cardiovascular Medicine,Cardiomyopathies & cellular pathophysiology,4.33,hard,15,pubmed,opentargets;pubmed,0.5,323.45,98568,4504,,,,,,,,
PMID:36355455,Clinical Medicine,Autoimmune & Rheumatologic Diseases,4.0,hard,12,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,277.47,88462,3793,,,,,,,,
NCT04007562,Pharmacology & Drug Discovery,Molecular Pharmacology & Cancer Biology,4.33,hard,0,,chembl;kegg;opentargets;pubmed;uniprot,0.0,1.58,823,106,,,,,,,,
PMID:35378557,Oncology,Pancreatic Cancer,4.0,hard,26,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,407.12,141201,2425,,,,,,,,
PMID:16142829,Surgical Sciences,Orthopedic Surgery,4.0,hard,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,273.69,60316,3622,,,,,,,,
PMID:31972425,Infectious Disease & Immunology,Signal Transduction & Inflammatory Pathology,4.0,hard,13,kegg;pubmed;uniprot,kegg;pubmed;uniprot,1.0,277.45,79519,3766,,,,,,,,
PMID:35761104,Neuroscience & Psychiatry,"Neurophysiology, Systems Neuroscience",3.67,hard,13,pubmed,ncbi_datasets;pubmed,0.5,326.49,97991,2459,,,,,,,,
PMID:25158828,Oncology,Cancer Biology & Stem Cell Therapeutics,4.67,hard,11,pubmed,chembl;opentargets;pubmed;uniprot,0.25,253.28,53105,4559,,,,,,,,
1705.02315v5,Clinical Medicine,Radiology,3.67,hard,10,biomcp;pubmed,biomcp;pubmed,1.0,196.17,42042,2470,,,,,,,,
hsa04723,Neuroscience & Psychiatry,Synaptic Plasticity,3.67,hard,10,kegg;pubmed;uniprot,kegg;pubmed;uniprot,1.0,222.59,54157,1862,,,,,,,,
PMID:33320308,Infectious Disease & Immunology,Immunoendocrinology & Infection,4.67,hard,18,pubmed,opentargets;pubmed;uniprot,0.333,375.35,139688,1820,,,,,,,,
PMID:29436899,Infectious Disease & Immunology,,4.0,hard,0,,,,27.97,56,2161,,,,,,,,
PMID:36465154,Public Health & Epidemiology,Occupational Health,3.33,medium,8,pubmed,pubmed,1.0,139.74,38858,3813,,,,,,,,
PMID:35534623,Oncology,Resistance Mechanisms & Targeted Therapy,5.0,hard,12,chembl;opentargets;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.6,217.14,48588,958,,,,,,,,
NCT06903923,Clinical Medicine,Pediatric Endocrinology,3.33,medium,19,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,255.58,98943,1514,,,,,,,,
NCT04508530,Neuroscience & Psychiatry,Post-Infectious Neuropsychiatric Disorders,4.0,hard,28,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,359.57,101901,4178,,,,,,,,
PMID:34724404,Infectious Disease & Immunology,Monoclonal Antibody Therapeutics,4.0,hard,10,pubmed,chembl;opentargets;pubmed;uniprot,0.25,243.47,68827,3415,,,,,,,,
PMID:37523477,Clinical Medicine,Obstetrics & Gynecology,3.33,medium,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;openfda;pubmed,0.667,243.46,62359,2695,,,,,,,,
PMID:33871055,Clinical Medicine,Dermatology,3.0,medium,12,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,293.88,95143,4232,,,,,,,,
2501.04017v1,Rare & Orphan Diseases,Sickle Cell Disease,3.0,medium,9,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,160.28,29837,2389,,,,,,,,
PMID:26811699,Pharmacology & Drug Discovery,Perioperative Pain Management,4.0,hard,16,pubmed,clinicaltrialsgov;pubmed,0.5,289.44,124135,3443,,,,,,,,
PMID:19298854,Oncology,Therapeutic Drug Discovery & Natural Products,4.67,hard,14,pubmed,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,0.2,331.4,55452,3413,,,,,,,,
PMID:37857825,Neuroscience & Psychiatry,Neurodegeneration,4.0,hard,17,opentargets;pubmed,chembl;opentargets;pubmed;uniprot,0.5,344.98,112143,3249,,,,,,,,
PMID:26040994,Genomics & Precision Medicine,Rare & Orphan Genetic Diseases,4.0,hard,17,pubmed;uniprot,ncbi_datasets;opentargets;pubmed;uniprot,0.5,352.55,98638,4027,,,,,,,,
PMID:38733922,Pharmacology & Drug Discovery,Geriatric Pharmacology,3.0,medium,11,chembl;clinicaltrialsgov;openfda;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,1.0,219.13,51427,3250,,,,,,,,
PMID:32060896,Genomics & Precision Medicine,Cellular & Membrane Biology,3.0,medium,16,kegg;pubmed,chembl;kegg;pubchem;pubmed;uniprot,0.4,322.79,122739,1461,,,,,,,,
NCT02604706,Clinical Medicine,Addiction Medicine & Integrative Medicine,2.67,medium,17,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,310.5,84570,3346,,,,,,,,
PMID:36707729,Pharmacology & Drug Discovery,Pharmacogenomics Implementation Science,3.33,medium,12,chembl;openfda;opentargets;pubmed,chembl;openfda;opentargets;pubmed,1.0,294.08,59763,3261,,,,,,,,
PMID:27493633,Cardiovascular Medicine,Cardiology / Drug Discovery,4.67,hard,13,pubmed,chembl;opentargets;pubmed,0.333,254.0,65778,3460,,,,,,,,
PMID:29678496,Infectious Disease & Immunology,Virology & Vaccinology,3.67,hard,16,pubmed,ncbi_datasets;opentargets;pubmed,0.333,311.54,137792,3995,,,,,,,,
PMID:39258519,Clinical Medicine,Nephrology,3.0,medium,0,,clinicaltrialsgov;pubmed,0.0,14.8,465,146,,,,,,,,
NCT05652179,Surgical Sciences,"Cardiac Surgery, Perioperative Organ Protection",3.67,hard,15,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,273.12,74475,2960,,,,,,,,
PMID:30659311,Infectious Disease & Immunology,Antimicrobial Stewardship & Treatment Optimization,3.67,hard,14,pubmed,clinicaltrialsgov;pubmed,0.5,270.0,97235,3940,,,,,,,,
NCT04130243,Cardiovascular Medicine,Congenital Heart Disease,3.33,medium,17,opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,272.28,133935,1384,,,,,,,,
B6A8C7,Infectious Disease & Immunology,Adaptive Immunity,3.67,hard,12,kegg;opentargets;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,1.0,222.57,52312,2380,,,,,,,,
2403.15405v3,Medical AI & Informatics,"Neuroimaging Analysis, Pipeline Methodology",3.67,hard,9,pubmed,ncbi_datasets;pubmed,0.5,157.07,44425,2738,,,,,,,,
PMID:32274757,Neuroscience & Psychiatry,Neurodegeneration,4.67,hard,16,opentargets;pubmed,opentargets;pubmed,1.0,277.55,61282,3182,,,,,,,,
PMID:32712962,Surgical Sciences,Periodontal Surgery,3.0,medium,4,pubmed,pubmed,1.0,81.58,2286,891,,,,,,,,
