task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
P19532,Oncology,Renal Cell Carcinoma,3.67,hard,16,chembl;clinicaltrialsgov;opentargets;pubmed,opentargets;pubmed;uniprot,0.667,363.46,7038,2774,,,,,,,,
PMID:25994217,Oncology,"Pancreatic cancer, tumor microenvironment",3.67,hard,12,opentargets;pubmed,opentargets;pubmed,1.0,712.04,6093,3349,,,,,,,,
PMID:36799262,Surgical Sciences,Orthopedic Surgery,4.0,hard,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,679.02,5947,2696,,,,,,,,
PMID:32311414,Cardiovascular Medicine,Cardiomyopathies & cellular pathophysiology,4.33,hard,17,pubmed,opentargets;pubmed,0.5,780.29,6654,3937,,,,,,,,
PMID:36355455,Clinical Medicine,Autoimmune & Rheumatologic Diseases,4.0,hard,16,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,776.38,6443,3814,,,,,,,,
NCT04007562,Pharmacology & Drug Discovery,Molecular Pharmacology & Cancer Biology,4.33,hard,0,,chembl;kegg;opentargets;pubmed;uniprot,0.0,107.75,696,274,,,,,,,,
PMID:35378557,Oncology,Pancreatic Cancer,4.0,hard,15,chembl;clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.75,679.0,6443,3888,,,,,,,,
PMID:16142829,Surgical Sciences,Orthopedic Surgery,4.0,hard,21,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,780.28,10006,3886,,,,,,,,
PMID:31972425,Infectious Disease & Immunology,Signal Transduction & Inflammatory Pathology,4.0,hard,11,kegg;pubmed;uniprot,kegg;pubmed;uniprot,1.0,619.46,3988,4286,,,,,,,,
PMID:35761104,Neuroscience & Psychiatry,"Neurophysiology, Systems Neuroscience",3.67,hard,19,pubmed,ncbi_datasets;pubmed,0.5,375.68,7465,3557,,,,,,,,
PMID:25158828,Oncology,Cancer Biology & Stem Cell Therapeutics,4.67,hard,16,chembl;opentargets;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,1.0,678.99,6226,4603,,,,,,,,
1705.02315v5,Clinical Medicine,Radiology,3.67,hard,9,biomcp;pubmed,biomcp;pubmed,1.0,578.51,2842,2576,,,,,,,,
hsa04723,Neuroscience & Psychiatry,Synaptic Plasticity,3.67,hard,19,kegg;pubmed;uniprot,kegg;pubmed;uniprot,1.0,844.76,12807,3990,,,,,,,,
PMID:33320308,Infectious Disease & Immunology,Immunoendocrinology & Infection,4.67,hard,17,pubmed;uniprot,opentargets;pubmed;uniprot,0.667,531.74,6823,4052,,,,,,,,
PMID:29436899,Infectious Disease & Immunology,,4.0,hard,0,,,,27.57,61,151,,,,,,,,
PMID:36465154,Public Health & Epidemiology,Occupational Health,3.33,medium,21,pubmed;pubsearch,pubmed,1.0,637.47,7257,4567,,,,,,,,
PMID:35534623,Oncology,Resistance Mechanisms & Targeted Therapy,5.0,hard,16,chembl;opentargets;pubmed;uniprot,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.8,588.43,9362,3793,,,,,,,,
NCT06903923,Clinical Medicine,Pediatric Endocrinology,3.33,medium,18,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,528.91,8092,2868,,,,,,,,
NCT04508530,Neuroscience & Psychiatry,Post-Infectious Neuropsychiatric Disorders,4.0,hard,17,chembl;clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.75,528.89,8325,2263,,,,,,,,
PMID:34724404,Infectious Disease & Immunology,Monoclonal Antibody Therapeutics,4.0,hard,18,chembl;opentargets;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,1.0,528.88,10128,3120,,,,,,,,
PMID:37523477,Clinical Medicine,Obstetrics & Gynecology,3.33,medium,15,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,431.26,6617,1964,,,,,,,,
PMID:33871055,Clinical Medicine,Dermatology,3.0,medium,18,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,473.4,6061,4803,,,,,,,,
2501.04017v1,Rare & Orphan Diseases,Sickle Cell Disease,3.0,medium,17,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,529.82,8344,2858,,,,,,,,
PMID:26811699,Pharmacology & Drug Discovery,Perioperative Pain Management,4.0,hard,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,378.05,3388,3099,,,,,,,,
PMID:19298854,Oncology,Therapeutic Drug Discovery & Natural Products,4.67,hard,22,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,1.0,529.81,11192,3536,,,,,,,,
PMID:37857825,Neuroscience & Psychiatry,Neurodegeneration,4.0,hard,24,chembl;opentargets;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,1.0,526.94,10928,4162,,,,,,,,
PMID:26040994,Genomics & Precision Medicine,Rare & Orphan Genetic Diseases,4.0,hard,11,ncbi_datasets;opentargets;pubmed;uniprot,ncbi_datasets;opentargets;pubmed;uniprot,1.0,262.62,5404,3204,,,,,,,,
PMID:38733922,Pharmacology & Drug Discovery,Geriatric Pharmacology,3.0,medium,14,chembl;clinicaltrialsgov;openfda;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,1.0,369.16,5948,3902,,,,,,,,
PMID:32060896,Genomics & Precision Medicine,Cellular & Membrane Biology,3.0,medium,15,chembl;kegg;pubmed;uniprot,chembl;kegg;pubchem;pubmed;uniprot,0.8,368.83,7556,2293,,,,,,,,
NCT02604706,Clinical Medicine,Addiction Medicine & Integrative Medicine,2.67,medium,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,271.55,3484,2314,,,,,,,,
PMID:36707729,Pharmacology & Drug Discovery,Pharmacogenomics Implementation Science,3.33,medium,15,chembl;openfda;opentargets;pubmed,chembl;openfda;opentargets;pubmed,1.0,434.62,6994,3691,,,,,,,,
PMID:27493633,Cardiovascular Medicine,Cardiology / Drug Discovery,4.67,hard,16,pubmed,chembl;opentargets;pubmed,0.333,391.01,5935,4810,,,,,,,,
PMID:29678496,Infectious Disease & Immunology,Virology & Vaccinology,3.67,hard,14,ncbi_datasets;pubmed,ncbi_datasets;opentargets;pubmed,0.667,319.25,6023,2998,,,,,,,,
PMID:39258519,Clinical Medicine,Nephrology,3.0,medium,0,,clinicaltrialsgov;pubmed,0.0,42.71,343,246,,,,,,,,
NCT05652179,Surgical Sciences,"Cardiac Surgery, Perioperative Organ Protection",3.67,hard,17,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,443.43,6492,2635,,,,,,,,
PMID:30659311,Infectious Disease & Immunology,Antimicrobial Stewardship & Treatment Optimization,3.67,hard,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,311.61,4169,3348,,,,,,,,
NCT04130243,Cardiovascular Medicine,Congenital Heart Disease,3.33,medium,14,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,383.96,6086,2500,,,,,,,,
B6A8C7,Infectious Disease & Immunology,Adaptive Immunity,3.67,hard,15,kegg;opentargets;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,1.0,332.42,8084,2766,,,,,,,,
2403.15405v3,Medical AI & Informatics,"Neuroimaging Analysis, Pipeline Methodology",3.67,hard,11,pubmed,ncbi_datasets;pubmed,0.5,371.65,4556,2995,,,,,,,,
PMID:32274757,Neuroscience & Psychiatry,Neurodegeneration,4.67,hard,12,opentargets;pubmed,opentargets;pubmed,1.0,485.07,5518,3551,,,,,,,,
PMID:32712962,Surgical Sciences,Periodontal Surgery,3.0,medium,14,pubmed,pubmed,1.0,722.53,7826,1028,,,,,,,,
PMID:37284928,Surgical Sciences,Anesthesiology,3.0,medium,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,575.56,5834,2906,,,,,,,,
PMID:33142986,Pharmacology & Drug Discovery,Radiation medicine & drug development,3.67,hard,19,chembl;clinicaltrialsgov;openfda;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,1.0,406.42,7878,4187,,,,,,,,
PMID:32882245,Surgical Sciences,Health Coding & Reimbursement,2.0,easy,17,pubmed,pubmed,1.0,783.11,5503,3444,,,,,,,,
P04198,Oncology,Cancer surveillance and prevention,2.33,easy,21,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,810.2,10440,3627,,,,,,,,
PMID:40644549,Neuroscience & Psychiatry,Synaptic Biology,4.0,hard,17,kegg;pubmed;uniprot,kegg;pubmed;uniprot,1.0,667.76,6325,4205,,,,,,,,
PMID:27027952,Genomics & Precision Medicine,Epigenomics,3.67,hard,13,pubmed,ncbi_datasets;pubmed,0.5,667.75,5022,3766,,,,,,,,
NCT03971097,Neuroscience & Psychiatry,Addiction medicine and behavioral interventions,3.33,medium,16,pubmed,pubmed,1.0,667.75,4806,2618,,,,,,,,
PMID:40611398,Rare & Orphan Diseases,Lysosomal storage diseases,4.0,hard,13,chembl;ncbi_datasets;opentargets;pubmed;uniprot,chembl;ncbi_datasets;opentargets;pubmed;uniprot,1.0,616.22,5360,3962,,,,,,,,
PMID:39121857,Neuroscience & Psychiatry,Neuroimmunology,4.0,hard,15,pubmed,opentargets;pubmed,0.5,741.45,7932,3142,,,,,,,,
PMID:41184638,Neuroscience & Psychiatry,Neurodegeneration & Alzheimer's Disease,3.67,hard,14,pubmed;uniprot,opentargets;pubmed;uniprot,0.667,739.95,6823,3396,,,,,,,,
PMID:39070897,Medical AI & Informatics,Digital Health Equity,3.33,medium,20,biomcp;pubmed,biomcp;pubmed,1.0,568.65,6482,3027,,,,,,,,
NCT05909098,Oncology,Non-Hodgkin Lymphoma Immunotherapy,3.67,hard,17,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,479.45,7725,2695,,,,,,,,
PMID:22676281,Surgical Sciences,Veterinary Critical Care & Implementation Science,3.33,medium,18,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,546.86,6532,3078,,,,,,,,
PMID:28710848,Infectious Disease & Immunology,Mycobacterial Infections & TB Immunology,4.33,hard,11,kegg;ncbi_datasets;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.8,391.13,4988,4027,,,,,,,,
NCT03988790,Clinical Medicine,"Pulmonology, Biomarker Discovery",3.33,medium,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,330.32,5960,2835,,,,,,,,
PMID:38579683,Neuroscience & Psychiatry,Neurodegeneration,4.0,hard,15,opentargets;pubmed,opentargets;pubmed;uniprot,0.667,407.43,6151,3786,,,,,,,,
PMID:33780647,Neuroscience & Psychiatry,Addiction Medicine; Psychopharmacology,4.0,hard,17,chembl;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,0.75,405.63,6251,3444,,,,,,,,
PMID:31012954,Public Health & Epidemiology,Healthcare workforce and systems,2.67,medium,15,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,405.63,5361,2900,,,,,,,,
PMID:36004796,Public Health & Epidemiology,Implementation Science & Hospital Quality,3.67,hard,11,pubmed,pubmed,1.0,329.92,3469,2637,,,,,,,,
PMID:39556335,Neuroscience & Psychiatry,Genetic Epilepsy,3.67,hard,9,clinicaltrialsgov;ncbi_datasets;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,1.0,214.66,3760,2737,,,,,,,,
PMID:36949522,Clinical Medicine,Eating Disorder Treatment,4.0,hard,20,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,420.2,8055,4205,,,,,,,,
PMID:39624081,Oncology,Cancer Biology & Metabolism,4.0,hard,19,chembl;opentargets;pubmed,chembl;opentargets;pubmed,1.0,538.71,7821,3915,,,,,,,,
PMID:32649576,Pharmacology & Drug Discovery,Cardiovascular Pharmacology; Drug-Drug Interactions,4.0,hard,13,chembl;openfda;pubmed,chembl;openfda;pubmed,1.0,404.63,5347,2597,,,,,,,,
PMID:40087523,Cardiovascular Medicine,Developmental & Metabolic Cardiology,4.0,hard,16,kegg;ncbi_datasets;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.8,482.84,8074,4482,,,,,,,,
PMID:37407818,Oncology,Targeted Therapeutics & Drug Development,4.0,hard,15,chembl;clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.75,393.12,6944,2800,,,,,,,,
NCT03935594,Surgical Sciences,Burn injury management and scar prevention,3.67,hard,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,430.09,5371,2268,,,,,,,,
PMID:3324702,Genomics & Precision Medicine,Evolutionary Genetics,3.0,medium,14,biomcp;pubmed,biomcp;pubmed,1.0,416.94,6534,3081,,,,,,,,
PMID:31431710,Oncology,Pediatric Oncology,4.33,hard,24,opentargets;pubmed;uniprot,opentargets;pubmed;uniprot,1.0,523.0,11402,993,,,,,,,,
PMID:41000472,Clinical Medicine,Rheumatology,4.0,hard,20,kegg;pubmed;uniprot,clinicaltrialsgov;pubmed,0.5,318.66,9668,4230,,,,,,,,
PMID:35726097,Neuroscience & Psychiatry,Neurovascular Biology & BBB Function,3.67,hard,17,kegg;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,0.75,437.03,7188,3506,,,,,,,,
PMID:38060191,Cardiovascular Medicine,Heart Failure Biomarkers,3.67,hard,18,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,437.02,8275,3853,,,,,,,,
PMID:36357681,Neuroscience & Psychiatry,Cognitive Aging & Alzheimer's Disease,4.33,hard,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,386.85,5079,2847,,,,,,,,
PMID:40464151,Medical AI & Informatics,Machine Learning for EEG & Neurophysiology,3.33,medium,13,biomcp;ncbi_datasets;pubmed,biomcp;ncbi_datasets;pubmed,1.0,311.17,4294,2930,,,,,,,,
PMID:38159067,Clinical Medicine,Interstitial Lung Disease,4.0,hard,23,kegg;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,0.75,537.03,10823,4124,,,,,,,,
PMID:30572739,Clinical Medicine,Endocrine Disorder Management,3.33,medium,17,chembl;clinicaltrialsgov;opentargets;pubchem;pubmed,chembl;clinicaltrialsgov;opentargets;pubchem;pubmed,1.0,458.83,7567,3166,,,,,,,,
PMID:24102271,Oncology,Hematological Malignancies & Stem Cell Therapy,5.0,hard,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,377.07,4480,3069,,,,,,,,
