taxonomy_l1,difficulty,n_tasks,n_judged,avg_weighted,pass_rate
Cardiovascular Medicine,easy,1,1,0.4025,0.0
Cardiovascular Medicine,hard,2,2,0.637,1.0
Cardiovascular Medicine,medium,2,2,0.2875,0.0
Clinical Medicine,hard,4,4,0.285,0.25
Clinical Medicine,medium,2,2,0.545,0.0
Genomics & Precision Medicine,hard,3,3,0.6663,1.0
Infectious Disease & Immunology,hard,3,3,0.4478,0.6667
Infectious Disease & Immunology,medium,2,2,0.6775,1.0
Medical AI & Informatics,hard,2,2,0.5762,0.0
Medical AI & Informatics,medium,3,3,0.5208,0.3333
Neuroscience & Psychiatry,hard,2,2,0.3075,0.5
Neuroscience & Psychiatry,medium,3,3,0.4792,0.6667
Oncology,hard,1,1,0.685,1.0
Oncology,medium,4,4,0.2244,0.25
Other,easy,2,2,0.5837,0.5
Other,hard,3,3,0.4207,0.3333
Other,medium,1,1,0.607,1.0
Pharmacology & Drug Discovery,hard,1,1,0.6325,1.0
Pharmacology & Drug Discovery,medium,2,2,0.3763,0.0
Public Health & Epidemiology,easy,1,1,0.55,0.0
Public Health & Epidemiology,hard,3,3,0.504,0.6667
Public Health & Epidemiology,medium,2,2,0.3212,0.0
Rare & Orphan Diseases,hard,2,2,0.6725,1.0
Rare & Orphan Diseases,medium,3,3,0.6375,0.6667
Surgical Sciences,easy,1,1,0.65,1.0
Surgical Sciences,hard,2,2,0.7125,0.5
Surgical Sciences,medium,3,3,0.6425,1.0
