task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
P19532,Oncology,Renal Cell Carcinoma,3.67,hard,6,clinicaltrialsgov;opentargets;pubmed,opentargets;pubmed;uniprot,0.667,114.21,15619,3892,,,,,,,,
PMID:25994217,Oncology,"Pancreatic cancer, tumor microenvironment",3.67,hard,0,,opentargets;pubmed,0.0,67.38,510,2931,,,,,,,,
PMID:36799262,Surgical Sciences,Orthopedic Surgery,4.0,hard,10,pubmed,clinicaltrialsgov;pubmed,0.5,627.46,86117,3262,,,,,,,,
PMID:32311414,Cardiovascular Medicine,Cardiomyopathies & cellular pathophysiology,4.33,hard,4,pubmed,opentargets;pubmed,0.5,129.48,7328,4193,,,,,,,,
PMID:36355455,Clinical Medicine,Autoimmune & Rheumatologic Diseases,4.0,hard,6,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,204.64,14173,5259,,,,,,,,
NCT04007562,Pharmacology & Drug Discovery,Molecular Pharmacology & Cancer Biology,4.33,hard,0,,chembl;kegg;opentargets;pubmed;uniprot,0.0,8.5,855,629,,,,,,,,
PMID:35378557,Oncology,Pancreatic Cancer,4.0,hard,0,,chembl;clinicaltrialsgov;opentargets;pubmed,0.0,67.36,764,3129,,,,,,,,
PMID:16142829,Surgical Sciences,Orthopedic Surgery,4.0,hard,2,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,129.46,4122,4028,,,,,,,,
PMID:31972425,Infectious Disease & Immunology,Signal Transduction & Inflammatory Pathology,4.0,hard,3,pubmed,kegg;pubmed;uniprot,0.333,129.46,5982,4032,,,,,,,,
PMID:35761104,Neuroscience & Psychiatry,"Neurophysiology, Systems Neuroscience",3.67,hard,2,pubmed,ncbi_datasets;pubmed,0.5,71.94,4598,3165,,,,,,,,
PMID:25158828,Oncology,Cancer Biology & Stem Cell Therapeutics,4.67,hard,6,pubmed,chembl;opentargets;pubmed;uniprot,0.25,204.61,11600,3594,,,,,,,,
